52.114.132.74,v10.events.data.microsoft.com
23.210.6.234,eaassets-a.akamaihd.net
172.253.122.188,mtalk4.google.com
172.217.6.195,connectivitycheck.gstatic.com
52.179.129.229,arc.msn.com
172.217.10.10,android.googleapis.com
35.186.224.47,dealer.spotify.com
13.225.228.128,launchermeta.mojang.com
13.225.220.68,authserver.mojang.com
13.225.220.68,authserver.mojang.com
52.223.241.2,video-weaver.atl01.hls.ttvnw.net
13.225.228.128,launchermeta.mojang.com
13.225.228.128,launchermeta.mojang.com
172.217.10.10,android.googleapis.com
20.36.219.28,activity.windows.com
47.88.65.93,tracking.apptrackerlink.com
172.217.10.10,android.googleapis.com
172.217.10.46,android.clients.google.com
13.107.246.10,launchercontent.mojang.com
34.232.138.226,srv-2020-02-28-21.pixel.parsely.com
172.217.12.170,playatoms-pa.googleapis.com
172.217.10.10,android.googleapis.com
35.188.42.15,sentry.io
192.81.242.131,34acf0414d836d3f8d491c6186153694.my.2k.com
172.217.10.10,android.googleapis.com
172.217.10.98,googleads.g.doubleclick.net
170.106.5.228,webim.tim.qq.com
172.217.10.106,footprints-pa.googleapis.com
172.217.10.42,www.googleapis.com
172.217.10.42,www.googleapis.com
52.223.241.2,video-weaver.atl01.hls.ttvnw.net
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
44.230.197.219,ekg.riotgames.com
148.153.64.18,message.bilibili.com
128.116.112.44,users.roblox.com
148.153.64.18,api.vc.bilibili.com
148.153.38.118,www.bilibili.com
148.153.38.118,www.bilibili.com
47.246.15.236,s1.hdslb.com
47.246.15.233,i0.hdslb.com
47.246.3.233,static.hdslb.com
104.16.37.99,playerpreferences.riotgames.com
52.223.241.2,video-weaver.atl01.hls.ttvnw.net
47.246.15.237,s2.hdslb.com
35.164.116.34,ekg.riotgames.com
96.6.27.90,www.microsoft.com
172.217.6.238,clients2.google.com
44.230.197.219,ekg.riotgames.com
54.225.147.125,tracking.overwolf.com
54.225.147.125,tracking.overwolf.com
23.67.250.50,eaassets-a.akamaihd.net
54.243.120.80,tracking.overwolf.com
